id,annotation
GFT80834.1,hypothetical protein TNCV_2714651
QTW97855.1,hypothetical protein
MBI3679702.1,hypothetical protein
MBP3235972.1,carboxylesterase family protein
MBQ9222749.1,hypothetical protein
MBQ4120621.1,tape measure protein
WP_143630632.1,hypothetical protein
MAT12529.1,hypothetical protein
MBQ8525957.1,hypothetical protein
NLI05171.1,cell division protein DivIVA
XP_011270795.1,hypothetical protein CAOG_09062
DAN07723.1,TPA: MAG TPA: tail tape measure
XP_013760124.1,hypothetical protein AMSG_03281
XP_013760124.1,hypothetical protein AMSG_03281
XP_023685188.1,uncharacterized protein LOC111853001
XP_045622093.1,early nodulin-75-like
WP_129440419.1,cell division protein ZapA
WP_129440419.1,cell division protein ZapA
WP_129440419.1,cell division protein ZapA
KAH3822289.1,hypothetical protein DPMN_124063
HIU48600.1,hypothetical protein
MBQ1925194.1,flotillin family protein
XP_041664252.1,apolipoprotein A-I-like
MBF0160154.1,hypothetical protein
MCB0188523.1,hypothetical protein
RMB89795.1,hypothetical protein DUI87_33810
CDP10676.1,unnamed protein product
WP_006103368.1,CHAT domain-containing protein
PID91145.1,hypothetical protein CSA96_09905
WP_051681316.1,transglycosylase SLT domain-containing protein
DAJ08789.1,TPA: MAG TPA: hypothetical protein
WP_009533623.1,hypothetical protein
WP_062359623.1,phage tail tape measure protein
WP_128893600.1,hypothetical protein
MBL8812908.1,hypothetical protein
NOT77761.1,OmpA family protein
OEU58176.1,phage tail tape measure protein
MSU74159.1,hypothetical protein
NBP57041.1,hypothetical protein
MBQ2988498.1,hypothetical protein
MBR1708234.1,DNA recombination protein RmuC
CCE79427.1,Piso0_001489
PSC75427.1,serine threonine-phosphatase 6 regulatory ankyrin repeat subunit A-isoform A
KAH7131252.1,ankyrin repeat-containing domain protein
XP_015824577.1,PREDICTED: actin cytoskeleton-regulatory complex protein PAN1-like isoform X2
MBX3734877.1,hypothetical protein
KAF9219804.1,hypothetical protein BS17DRAFT_379925
KJE97301.1,hypothetical protein CAOG_007732
WP_156754234.1,hypothetical protein
WP_156754234.1,hypothetical protein
WP_058752756.1,unnamed protein product
WP_165613653.1,phage tail tape measure protein
KAE8225053.1,hypothetical protein CF319_g2151
WP_159570932.1,c-type cytochrome
XP_026290863.1,ATP-dependent helicase brm-like isoform X3
AYD81618.1,tape measure protein
AYD81618.1,tape measure protein
NVN97124.1,hypothetical protein
KAG2494716.1,hypothetical protein HYH03_007230
XP_021183519.1,collagen alpha-1(III) chain-like isoform X3
XP_039670888.1,aspartyl/asparaginyl beta-hydroxylase isoform X1
WP_213156035.1,hypothetical protein
XP_010704896.1,ankyrin repeat and EF-hand domain-containing protein 1 isoform X2
KAG7295723.1,hypothetical protein JYU34_020764
WP_085791663.1,hypothetical protein
XP_003677685.1,hypothetical protein NCAS_0H00240
MBM3339440.1,hypothetical protein
MBN2793779.1,hypothetical protein
WP_151967717.1,hypothetical protein
WP_151967717.1,hypothetical protein
RTZ95171.1,hypothetical protein DSY90_14165
WP_015171019.1,gas vesicle protein GvpC
CAE1268825.1,unnamed protein product
PKK49785.1,hypothetical protein CI102_5174
WP_237595657.1,hypothetical protein
XP_035685304.1,uncharacterized protein LOC118421906
WP_071478483.1,hypothetical protein
WP_071478483.1,hypothetical protein
MBA4420291.1,hypothetical protein
MBA4420291.1,hypothetical protein
MBZ0271471.1,hypothetical protein
WP_078109224.1,hypothetical protein
WP_078109224.1,hypothetical protein
RXJ77906.1,hypothetical protein CRV03_02740
PYV09780.1,hypothetical protein DMG23_09835
GFS94404.1,hypothetical protein TNCV_2014381
MBQ2007015.1,hypothetical protein
MCA9938343.1,hypothetical protein
WP_012073125.1,hypothetical protein
MBR4768393.1,hypothetical protein
WP_042233881.1,YhgE/Pip domain-containing protein
MCB9053520.1,tetratricopeptide repeat-containing sensor histidine kinase
DAV93844.1,TPA: MAG TPA: chromosome segregation ATPase
WP_166292679.1,leucine-rich repeat domain-containing protein
MBT9548401.1,hypothetical protein
XP_018019251.1,PREDICTED: protein NRDE2 homolog
WP_132297181.1,hypothetical protein
MXQ74206.1,hypothetical protein
NOZ29636.1,hypothetical protein
WP_102519210.1,MotA/TolQ/ExbB proton channel family protein
MBE9169366.1,DUF4164 domain-containing protein
WP_146201612.1,hypothetical protein
PKN01166.1,hypothetical protein CVU77_06735
XP_046870494.1,spermatogenesis-associated protein 6 isoform X3
XP_046580936.1,putative protein CRIPAK
XP_046580936.1,putative protein CRIPAK
DAG16085.1,TPA: MAG TPA: tail tape measure protein
MBT9558270.1,DUF4157 domain-containing protein
WP_097025425.1,phage tail tape measure protein
XP_043204466.1,uncharacterized protein LOC122371816 isoform X2
KAI1077642.1,hypothetical protein F5B20DRAFT_550873
XP_003842557.1,predicted protein
MBT3331979.1,hypothetical protein
MBA2326600.1,hypothetical protein
MBR0535325.1,phage tail tape measure protein
KAF2422184.1,hypothetical protein EJ08DRAFT_701732
KZV83198.1,hypothetical protein EXIGLDRAFT_701818
RYD37296.1,hypothetical protein EOP86_03835
RMC16442.1,hypothetical protein DUI87_06772
MBI3296637.1,hypothetical protein
KAA1100951.1,hypothetical protein PGT21_002564
KAH3773398.1,hypothetical protein DPMN_174758
XP_045617748.1,uncharacterized protein LOC123770121
XP_045617748.1,uncharacterized protein LOC123770121
MPC38728.1,hypothetical protein
PYS70423.1,hypothetical protein DMF69_13575
MPZ20219.1,DUF1640 domain-containing protein
WP_151627408.1,DUF2207 domain-containing protein
GCF10963.1,hypothetical protein KDI_45270
WP_210533208.1,MULTISPECIES: hypothetical protein
CCY57759.1,uncharacterized protein BN743_01060
WP_181958107.1,serine/threonine protein kinase
MBL7812126.1,hypothetical protein
MBT8049611.1,hypothetical protein
WP_203619202.1,tape measure protein
XP_020381275.1,cadherin-22-like
WP_077926996.1,hypothetical protein
CAD7224942.1,unnamed protein product
WP_216894416.1,hypothetical protein
WP_159692108.1,hypothetical protein
WP_192021886.1,hypothetical protein
MBR4352713.1,hypothetical protein
XP_019004756.1,hypothetical protein I203_02880
XP_026390599.1,late embryogenesis abundant protein 2-like
MCE1245859.1,hypothetical protein
WP_070983351.1,MULTISPECIES: hypothetical protein
DAJ05649.1,TPA: MAG TPA: minor tail protein
XP_035463073.1,probable basic-leucine zipper transcription factor S
NVO21493.1,hypothetical protein
MSX82129.1,DivIVA domain-containing protein
WP_070236176.1,hypothetical protein
WP_101268417.1,hypothetical protein
XP_039781397.1,late embryogenesis abundant protein 1-like
MBQ8159632.1,hypothetical protein
XP_039764451.1,titin-like
OAA35393.1,hypothetical protein NOR_07972
KAF0126043.1,hypothetical protein FD154_1399
KAG5712234.1,hypothetical protein BaRGS_014584
WP_010721310.1,phage tail tape measure protein
RXN18823.1,hypothetical protein ROHU_007632
MBP6848408.1,hypothetical protein
VWC91665.1,host specificity protein J
MBF0561379.1,DUF1640 domain-containing protein
XP_031113988.1,proline-rich extensin-like protein EPR1
XP_001302815.1,megakaryocyte stimulating factor
UDQ97947.1,phage tail tape measure protein
NCZ97125.1,hypothetical protein
MCD8308887.1,hypothetical protein
RLV91551.1,hypothetical protein JA1_003758
WP_081158568.1,DUF4157 domain-containing protein
WP_081158568.1,DUF4157 domain-containing protein
OAE30368.1,hypothetical protein AXG93_3233s1070
MBR3903060.1,ankyrin repeat domain-containing protein
HIV90508.1,hypothetical protein
XP_015177410.1,PREDICTED: DNA-directed RNA polymerase II subunit RPB1-like
XP_042221553.1,early nodulin-75-like
MAL51678.1,hypothetical protein
HDR06322.1,hypothetical protein
MBO8441233.1,hypothetical protein
KAA8577052.1,hypothetical protein EYC84_007063
GCE26816.1,hypothetical protein KDA_23000
KMQ82112.1,e3 ubiquitin-protein ligase parkin
AEI63301.1,hypothetical protein LILAB_06930
MBK5265812.1,YtxH domain-containing protein
MBR6102633.1,phage tail tape measure protein
XP_006811612.1,PREDICTED: protein FAM184A-like
MBQ9005364.1,tape measure protein
MBQ9005364.1,tape measure protein
WP_208012325.1,hypothetical protein
CAA3018675.1,Hypothetical predicted protein
XP_013076737.1,PREDICTED: serine/arginine repetitive matrix protein 2-like
WP_012216683.1,hypothetical protein
XP_045617740.1,microtubule-associated protein 6-like
CAG8798239.1,38020_t:CDS:2
SLM39324.1,peroxisomal adenine nucleotide transporter 1
MBQ3422913.1,hypothetical protein
MBQ3422913.1,hypothetical protein
MCB9057907.1,hypothetical protein
HGH02934.1,hypothetical protein
XP_012808080.2,glycine-rich cell wall structural protein-like
MBL7785317.1,PD-(D/E)XK nuclease family transposase
WP_044348177.1,DNA circularization N-terminal domain-containing protein
MBI5163166.1,hypothetical protein
KAA8520991.1,hypothetical protein F0562_011664
WP_021036280.1,unnamed protein product
WP_019190647.1,DUF4446 family protein
MBZ5621720.1,ankyrin repeat domain-containing protein
XP_035609532.1,early nodulin-75-like
XP_035609532.1,early nodulin-75-like
XP_035609532.1,early nodulin-75-like
WP_161077962.1,DUF1640 domain-containing protein
WP_182130900.1,hypothetical protein
STO97980.1,Uncharacterised protein
KAG8591016.1,hypothetical protein GDO81_007015
KAG8591016.1,hypothetical protein GDO81_007015
MBO6577398.1,DivIVA domain-containing protein
KAF9516186.1,hypothetical protein BS47DRAFT_1315508
XP_037797871.1,ankyrin repeat domain-containing protein 11-like
WP_023360132.1,hypothetical protein
CAD7925184.1,unnamed protein product
WP_183635150.1,DUF4157 domain-containing protein
WP_183635150.1,DUF4157 domain-containing protein
GIY46186.1,hypothetical protein CDAR_401381
XP_022302097.1,germinal-center associated nuclear protein-like
DAH03552.1,TPA: MAG TPA: minor tail protein
DAH03552.1,TPA: MAG TPA: minor tail protein
WP_201383960.1,hypothetical protein
GFR47043.1,hypothetical protein Agub_g8728
CAE8616965.1,unnamed protein product
WP_009076927.1,hypothetical protein
WP_009076927.1,hypothetical protein
XP_045176368.1,uncharacterized PE-PGRS family protein PE_PGRS54-like
MBC8552705.1,hypothetical protein
NTU89784.1,hypothetical protein
OAO16930.1,Mitochondrial Protein Translocase (MPT) Family Tim44
XP_042559687.1,protein dachsous isoform X2
NCP87721.1,hypothetical protein
DAW28495.1,TPA: MAG TPA: tail tape measure protein
MBE0640524.1,AsmA family protein
QDU68678.1,serine endoprotease
MBO7089293.1,hypothetical protein
MPZ21276.1,hypothetical protein
MSU61830.1,hypothetical protein
XP_003065917.1,hypothetical protein CPC735_051420
MBI2655068.1,hypothetical protein
MCA3085550.1,hypothetical protein
PLX98141.1,hypothetical protein C0623_13925
XP_025562300.1,hypothetical protein BO88DRAFT_463627
XP_008584091.1,PREDICTED: suprabasin
TFK71563.1,hypothetical protein BDN72DRAFT_793756
GAX76320.1,hypothetical protein CEUSTIGMA_g376
RLI08039.1,hypothetical protein DRO24_01930
MBC8042900.1,DivIVA domain-containing protein
MBS1720467.1,DUF4157 domain-containing protein
MBS1720467.1,DUF4157 domain-containing protein
MBS1720467.1,DUF4157 domain-containing protein
CAH0056230.1,unnamed protein product
MBI5079404.1,apolipoprotein A1/A4/E family protein
WP_081202229.1,hypothetical protein
MBQ6395135.1,hypothetical protein
MBU0607703.1,ankyrin repeat domain-containing protein
CAE1239938.1,unnamed protein product
MSZ19905.1,hypothetical protein
MBR6127827.1,hypothetical protein
MBR6127827.1,hypothetical protein
MBR6127827.1,hypothetical protein
MBR6127827.1,hypothetical protein
MBQ7168645.1,hypothetical protein
TRZ19176.1,hypothetical protein HGM15179_008015
AGA34583.1,hypothetical protein TVNIR_2946
WP_013861737.1,hypothetical protein
XP_032319398.1,extensin-like
AFP41282.1,hypothetical protein MSMEI_4838
XP_018426327.1,PREDICTED: enhancer of filamentation 1
PIK16243.1,hypothetical protein CES88_05770
WP_231594457.1,peptidase M56
MBT8148805.1,hypothetical protein
PNC28582.1,phage tail tape measure protein
KAG8999199.1,hypothetical protein FRB94_006388
MCB9742198.1,response regulator
XP_039454864.1,apoptotic chromatin condensation inducer in the nucleus-like isoform X1
MBT9556960.1,hypothetical protein
XP_045595744.1,putative protein FAM47C
MBT4375759.1,hypothetical protein
DAZ28449.1,TPA: MAG TPA: tail tape measure
OVA17995.1,Amine oxidase
MBQ0068842.1,hypothetical protein
PQE20064.1,ankyrin repeat and SAM domain containing 6 protein
DAO16977.1,TPA: MAG TPA: tail tape measure
DAD28659.1,TPA_asm: hypothetical protein HUJ06_030127
WP_139177774.1,hypothetical protein
WP_139177774.1,hypothetical protein
HCE73551.1,hypothetical protein
XP_014670245.1,PREDICTED: RNA-binding protein 25-like
MCC6921931.1,hypothetical protein
TXH43413.1,hypothetical protein E6Q97_34130
MBN9605882.1,hypothetical protein
XP_039906525.1,uncharacterized protein PFB0145c-like
XP_039906525.1,uncharacterized protein PFB0145c-like
XP_034252772.1,mediator of RNA polymerase II transcription subunit 15-like isoform X2
CDI87770.1,"hypothetical protein, conserved"
MCD7745116.1,CapA family protein
MBK9120021.1,hypothetical protein
WP_157970471.1,hypothetical protein
NWG39390.1,hypothetical protein
WP_106350974.1,DivIVA domain-containing protein
TAF33974.1,hypothetical protein EAZ67_05575
OGN00423.1,hypothetical protein A2650_03485
WP_223046880.1,hypothetical protein
KAF4960441.1,hypothetical protein FGADI_931
WP_179718336.1,hypothetical protein
PXX52843.1,hypothetical protein DFR70_12910
CAF4423000.1,unnamed protein product
WP_129587919.1,hypothetical protein
PKF54993.1,hypothetical protein CW748_14535
CAG9124658.1,unnamed protein product
WP_115534623.1,hypothetical protein
MBP3372054.1,DivIVA domain-containing protein
XP_022465726.1,hypothetical protein KNAG_0H00650
MAY39135.1,hypothetical protein
XP_046211108.1,uncharacterized protein LOC124039243
XP_046211108.1,uncharacterized protein LOC124039243
WP_153499397.1,hypothetical protein
PYY11615.1,hypothetical protein DMG61_18585
NMC71032.1,hypothetical protein
WP_206183082.1,tape measure protein
WP_127561533.1,hypothetical protein
XP_013228985.1,"hypothetical protein, conserved"
MCA0331256.1,DUF3618 domain-containing protein
WP_013728305.1,phage tail tape measure protein
MBQ3566910.1,AI-2E family transporter
KYO43840.1,hypothetical protein Y1Q_0011143
WP_139839880.1,hypothetical protein
WP_051883128.1,hypothetical protein
XP_040200418.1,glycine-rich cell wall structural protein-like isoform X6
WP_188428500.1,DivIVA domain-containing protein
CAE1233556.1,unnamed protein product
GHQ01550.1,hypothetical protein VN0271_14920
DAH59634.1,TPA: MAG TPA: hypothetical protein
WP_207037995.1,phage tail tape measure protein
GGP46437.1,hypothetical protein GCM10010185_17630
XP_013183015.1,PREDICTED: proline-rich extensin-like protein EPR1 isoform X1
MBI4696408.1,hypothetical protein
MBQ9121453.1,hypothetical protein
WP_086347559.1,hypothetical protein
WP_134667837.1,phage tail tape measure protein
KAG2495182.1,hypothetical protein HYH03_006788
KAG2495182.1,hypothetical protein HYH03_006788
KAG2495182.1,hypothetical protein HYH03_006788
KAG2495182.1,hypothetical protein HYH03_006788
RXG66218.1,hypothetical protein ES695_04100
RKY13861.1,hypothetical protein DRP52_01675
MBX5459495.1,apolipoprotein A1/A4/E family protein
SNT65958.1,hypothetical protein SAMN05421812_12955
XP_033756303.1,extensin-like
MCB9388823.1,hypothetical protein
XP_020271115.1,uncharacterized protein LOC109846301
NWV75470.1,SPRR3 protein
MBR2126477.1,hypothetical protein
MBO6305143.1,hypothetical protein
MBW3652349.1,hypothetical protein
MBR5132073.1,hypothetical protein
XP_043699865.1,late embryogenesis abundant protein ECP63-like
WP_161968118.1,hypothetical protein
SDK26464.1,hypothetical protein SAMN05421874_106194
MBY0266169.1,FecR domain-containing protein
RTZ98662.1,hypothetical protein DSY84_08615
KOO25925.1,hypothetical protein Ctob_002223
WP_070396188.1,hypothetical protein
KAF2369046.1,Ankyrin repeat-containing domain
KAF2369046.1,Ankyrin repeat-containing domain
KAI0389053.1,hypothetical protein F5Y17DRAFT_157123
HHP30607.1,hypothetical protein
WP_116684528.1,anti-phage defense ZorAB system protein ZorA
MBY0246889.1,hypothetical protein
MBS4957971.1,hypothetical protein
HEN17984.1,DNA recombination protein RmuC
OLU38617.1,hypothetical protein BO224_08670
XP_045600819.1,DNA-directed RNA polymerase II subunit RPB1-like
KAG8173521.1,hypothetical protein JTE90_006142
XP_019616069.1,PREDICTED: uncharacterized protein LOC109463656
WP_237604966.1,hypothetical protein
XP_033758011.1,circumsporozoite protein-like
XP_039291787.1,A-kinase anchor protein 17A
KAF3839350.1,hypothetical protein F7725_018067
KAF3839350.1,hypothetical protein F7725_018067
KAF3839350.1,hypothetical protein F7725_018067
KAF3839350.1,hypothetical protein F7725_018067
WP_155467472.1,hypothetical protein
KQO58593.1,hypothetical protein ASF14_01260
CAC5422181.1,unnamed protein product
CAC5422181.1,unnamed protein product
WP_102395785.1,chemotaxis protein
MCA9287221.1,hypothetical protein
XP_007769561.1,hypothetical protein CONPUDRAFT_82793
WP_092997041.1,hypothetical protein
KAH9612335.1,hypothetical protein KSS87_000202
WP_033460911.1,DUF802 domain-containing protein
MBX2819263.1,hypothetical protein
WP_231794303.1,phage tail tape measure protein
WP_231794303.1,phage tail tape measure protein
WP_038562124.1,DNA recombination protein RmuC
SFT21102.1,hypothetical protein SAMN05428962_5290
OSX70399.1,hypothetical protein BU14_0769s0005
DAI90564.1,TPA: MAG TPA: minor tail protein
XP_045103581.1,serine/arginine repetitive matrix protein 2-like
BBZ27058.1,hypothetical protein MMAD_13530
XP_025368519.1,hypothetical protein IE81DRAFT_348411
MBK9795661.1,hypothetical protein
MBK9795661.1,hypothetical protein
KAF3666971.1,putative microtubule-associated protein futsch-like isoform X2
MBA2337551.1,YtxH domain-containing protein
WP_027305024.1,hypothetical protein
TMW69091.1,hypothetical protein Poli38472_001247
KYQ91175.1,argonaut-like protein
UMM32089.1,hypothetical protein L5515_006017
WP_154787074.1,hypothetical protein
MBC6427677.1,hypothetical protein
MBP3568353.1,hypothetical protein
MBP3568353.1,hypothetical protein
WP_075691761.1,hypothetical protein
MBN2006745.1,DUF4157 domain-containing protein
MBN2006745.1,DUF4157 domain-containing protein
XP_005767349.1,hypothetical protein EMIHUDRAFT_461665
WP_133297448.1,hypothetical protein
PWI47479.1,hypothetical protein CEE45_11735
PWI47479.1,hypothetical protein CEE45_11735
XP_019356851.1,PREDICTED: trans-Golgi network integral membrane protein 2
WP_126581672.1,phage tail tape measure protein
NKQ38071.1,hypothetical protein
WP_107891529.1,hypothetical protein
WP_189053930.1,tape measure protein
MBI4758056.1,hypothetical protein
MBI4758056.1,hypothetical protein
WP_123663485.1,leucine-rich repeat domain-containing protein
WP_236090088.1,DUF3618 domain-containing protein
KAG8420767.1,hypothetical protein J3458_002696
MBE6889839.1,DivIVA domain-containing protein
MBS0378952.1,DUF3300 domain-containing protein
KAF0695323.1,hypothetical protein As57867_013808
WP_022627296.1,phage tail tape measure protein
WP_149752040.1,hypothetical protein
WP_025821486.1,hypothetical protein
GJJ12322.1,hypothetical protein Clacol_006563
MBQ5473308.1,hypothetical protein
WP_162425312.1,hypothetical protein
OHT04425.1,hypothetical protein TRFO_06308
XP_002565443.1,Pc22g15250
MBJ6765251.1,hypothetical protein
MBJ6765251.1,hypothetical protein
VDB97556.1,unnamed protein product
XP_008783907.2,embryonic protein DC-8
WP_092460250.1,unnamed protein product
XP_035609202.1,ubiquitin carboxyl-terminal hydrolase 47-like isoform X5
VFJ53034.1,Protein of unknown function (DUF1640)
WP_203159515.1,hypothetical protein
MBQ3304069.1,leucine-rich repeat domain-containing protein
KOM27489.1,hypothetical protein LR48_Vigan431s000300
XP_012849330.1,PREDICTED: uncharacterized protein LOC105969136
WP_199615709.1,hypothetical protein
MCB1073122.1,hypothetical protein
ROT74844.1,Zonadhesin
GBC93670.1,hypothetical protein HRbin15_02172
MBN2851188.1,phage tail tape measure protein
GCB64486.1,hypothetical protein
MBQ1454549.1,hypothetical protein
MBQ1454549.1,hypothetical protein
MBE1436094.1,ATP-binding cassette subfamily C protein CydCD
MCC2351160.1,hypothetical protein
MBF0610826.1,bacteriohemerythrin
WP_110309141.1,hypothetical protein
HET91577.1,hypothetical protein
WP_156157681.1,hypothetical protein
WP_156157681.1,hypothetical protein
ROT82944.1,hypothetical protein C7M84_023881
ROT82944.1,hypothetical protein C7M84_023881
MBQ7722066.1,hypothetical protein
MSR51120.1,hypothetical protein
MBQ3922637.1,hypothetical protein
MBQ3922637.1,hypothetical protein
MBQ3922637.1,hypothetical protein
PZR78612.1,hypothetical protein DLM65_12425
MBQ9658161.1,hypothetical protein
PAE17295.1,hypothetical protein CHH91_04630
YP_008857886.1,tape measure protein
TMQ08010.1,DUF4157 domain-containing protein
GIF32009.1,hypothetical protein Aut01nite_49950
ESU36169.1,Putative WW domain protein
KIJ92390.1,hypothetical protein K443DRAFT_135302
DAX17555.1,TPA: MAG TPA: bacteriocin
DAX17555.1,TPA: MAG TPA: bacteriocin
XP_002671049.1,uncharacterized protein NAEGRDRAFT_53176
WP_087226923.1,hypothetical protein
HIQ71197.1,hypothetical protein
MBX3054769.1,hypothetical protein
OFW55847.1,hypothetical protein A2Y75_05380
OFW55847.1,hypothetical protein A2Y75_05380
WP_106589878.1,hypothetical protein
WP_106589878.1,hypothetical protein
TKR80679.1,hypothetical protein L596_014713
MBK5305384.1,hypothetical protein
XP_021953359.1,uncharacterized protein LOC110850198
KAF8066370.1,ECA1
CAE1283363.1,unnamed protein product
CAE1283363.1,unnamed protein product
OAA63238.1,Ankyrin repeat-containing domain protein
KAF4583279.1,repetitive proline-rich cell wall protein 2
KAF4583279.1,repetitive proline-rich cell wall protein 2
MBX9625553.1,HEAT repeat domain-containing protein
KAG7330840.1,hypothetical protein KOW79_004809
MBT5569996.1,ankyrin repeat domain-containing protein
WP_205337973.1,phage tail tape measure protein
TXH57704.1,phage tail tape measure protein
TXH57704.1,phage tail tape measure protein
XP_001019417.2,"transmembrane protein, putative"
XP_001019417.2,"transmembrane protein, putative"
WP_201706391.1,DUF1542 domain-containing protein
WP_045444663.1,hypothetical protein
NNC65473.1,hypothetical protein
WP_097205924.1,hypothetical protein
XP_042218682.1,uncharacterized protein LOC121863858
WP_075705024.1,hypothetical protein
CAG2257271.1,unnamed protein product
VAH27410.1,unnamed protein product
WP_206925004.1,phage tail tape measure protein
WP_206925004.1,phage tail tape measure protein
MBI5002876.1,hypothetical protein
TMK22566.1,hypothetical protein E6G68_01930
QDV91366.1,hypothetical protein RAS2_24620
MBT5754790.1,hypothetical protein
KAG2484058.1,hypothetical protein HYH03_017147
WP_179260606.1,hypothetical protein
MCB9523128.1,hypothetical protein
MCB9523128.1,hypothetical protein
MCB9523128.1,hypothetical protein
MCB9523128.1,hypothetical protein
MCB9523128.1,hypothetical protein
XP_043243669.1,uncharacterized protein DDB_G0271670-like
ESS33973.1,"putative histone lysine methyltransferase, SET"
KAF9024911.1,hypothetical protein BDZ89DRAFT_104775
GFS04239.1,ficolin-1
MBZ0165638.1,hypothetical protein
XP_009852327.1,hypothetical protein NEUTE1DRAFT_123229
KAG8561234.1,hypothetical protein GDO81_015294
WP_094563033.1,hypothetical protein
XP_041970977.1,uncharacterized protein LOC121727305
TXG59559.1,hypothetical protein EZV62_014132
PLW38963.1,hypothetical protein PCANC_20292
RKU28535.1,hypothetical protein C6495_14885
XP_002521572.1,late embryogenesis abundant protein D-29
XP_021726397.1,uncharacterized protein At4g04980-like
DAX95984.1,TPA: MAG TPA: minor tail protein
NLV57997.1,hypothetical protein
GFH47316.1,hypothetical protein CTEN210_03791
MBO4553308.1,hypothetical protein
MBQ7327171.1,hypothetical protein
MBQ7327171.1,hypothetical protein
NER48320.1,hypothetical protein
MBP3511273.1,hypothetical protein
GCC39548.1,hypothetical protein
CAE7509455.1,KCNB2
RLE43203.1,hypothetical protein DRJ48_01525
WP_051303758.1,phage tail tape measure protein
ARA91152.1,minor ampullate spidroin variant 1
DAH61364.1,TPA: MAG TPA: tail tape measure protein
MBQ9546655.1,apolipoprotein A1/A4/E family protein
KAH6670200.1,hypothetical protein B0J14DRAFT_114437
NNE90035.1,"L,D-transpeptidase family protein"
MBC8245584.1,ankyrin repeat domain-containing protein
MBC8245584.1,ankyrin repeat domain-containing protein
WP_152537183.1,glycoside hydrolase family 11 protein
MBE7437572.1,hypothetical protein
XP_044720024.1,ankyrin repeats (3 copies) domain-containing protein
SCP96306.1,hypothetical protein SAMN05421730_100484
XP_033125471.1,protein FAM184A-like
MBI5211149.1,HEAT repeat domain-containing protein
CAB4141854.1,Phage tail tape measure protein
CAD7276684.1,unnamed protein product
PHM21707.1,hypothetical protein CK604_04870
MBI4657879.1,ankyrin repeat domain-containing protein
MBI4657879.1,ankyrin repeat domain-containing protein
MBQ0083020.1,hypothetical protein
MBN2156329.1,hypothetical protein
MBN2156329.1,hypothetical protein
WP_219067439.1,hypothetical protein
MBC2762681.1,hypothetical protein
KAF7302944.1,hypothetical protein MKEN_01256900
WP_003444992.1,transglycosylase SLT domain-containing protein
WP_148679106.1,hypothetical protein
NUS16307.1,phage tail tape measure protein
KAF9916356.1,hypothetical protein BX616_003988
KAF9916356.1,hypothetical protein BX616_003988
OAE22100.1,hypothetical protein AXG93_1175s1100
KAH7442330.1,hypothetical protein KP509_03G082700
CAF9930546.1,hypothetical protein HETSPECPRED_007645
XP_014352620.1,PREDICTED: CD209 antigen-like protein C
XP_017582612.1,PREDICTED: arylsulfatase A
WP_159804906.1,hypothetical protein
POF10815.1,nac transcription factor 32
MBU0533082.1,hypothetical protein
NOR40331.1,hypothetical protein
WP_172772111.1,hypothetical protein
WP_147447888.1,hypothetical protein
WP_018579274.1,hypothetical protein
WP_218024591.1,tape measure protein
MBS1740654.1,hypothetical protein
MBS6873534.1,hypothetical protein
MBQ2804103.1,EndoU domain-containing protein
WP_213157619.1,hypothetical protein
OPZ34843.1,hypothetical protein BWY96_03000
KAG1673416.1,hypothetical protein FOA52_002181
MBS3147703.1,hypothetical protein
XP_012944694.1,golgin subfamily A member 4 isoform X5
KAG0577164.1,hypothetical protein KC19_5G135700
DAV38346.1,TPA: MAG TPA: tail tape measure protein
HGX20447.1,DUF4339 domain-containing protein
HGX20447.1,DUF4339 domain-containing protein
WP_025101808.1,cytochrome c biogenesis protein DipZ
MBL8934343.1,hypothetical protein
WP_153550732.1,30S ribosomal protein S3
MCF0133658.1,prolipoprotein diacylglyceryl transferase
WP_192028831.1,hypothetical protein
NLL63791.1,DivIVA domain-containing protein
WP_066116799.1,hypothetical protein
WP_209456857.1,tape measure protein
MBS1814307.1,hypothetical protein
NIP60248.1,hypothetical protein
WP_110264732.1,response regulator
NQW85453.1,hypothetical protein
XP_023322365.1,uncharacterized protein LOC111696848 isoform X3
KAI0520856.1,ankyrin repeat-containing domain protein
MBI5473025.1,hypothetical protein
WP_055954714.1,hypothetical protein
XP_003332872.2,hypothetical protein PGTG_14031
KAG2498178.1,hypothetical protein HYH03_003933
CDJ50762.1,hypothetical protein EBH_0036120
XP_042240424.1,"nascent polypeptide-associated complex subunit alpha, muscle-specific form-like isoform X2"
WP_115670518.1,ATP-binding domain-containing protein
XP_003711154.1,uncharacterized protein MGG_10897
MBH1625020.1,histone
WP_018933282.1,hypothetical protein
NLX56811.1,hypothetical protein
CAF1458960.1,unnamed protein product
CAF1458960.1,unnamed protein product
XP_018021588.1,PREDICTED: circumsporozoite protein-like
WP_201622154.1,hypothetical protein
WP_238692046.1,tape measure protein
SCI96181.1,Phage-related protein
WP_052209128.1,hypothetical protein
KOY87809.1,hypothetical protein AD998_18210
KAA8499248.1,"Ankyrin repeat, PH and SEC7 domain containing protein secG"
WP_192822278.1,hypothetical protein
WP_153808913.1,acyltransferase domain-containing protein
WP_158597605.1,hypothetical protein
WP_158597605.1,hypothetical protein
CAA3027050.1,Hypothetical predicted protein
NVM23844.1,phage tail tape measure protein
XP_035691669.1,NFX1-type zinc finger-containing protein 1-like
WP_133433624.1,phage tail tape measure protein
CAE8693801.1,unnamed protein product
